city,temp_day,rain
Mont Saint Michel,14.3,0.0
Mont Saint Michel,11.0,0.6
Mont Saint Michel,9.8,0.3
Mont Saint Michel,8.7,5.0
Mont Saint Michel,7.3,3.9
Mont Saint Michel,8.5,0.0
Mont Saint Michel,6.5,4.8
St Malo,2.4,0.0
St Malo,2.1,0.0
St Malo,4.7,0.3
St Malo,6.0,0.0
St Malo,2.2,10.5
St Malo,2.4,0.0
St Malo,5.5,0.0
Bayeux,13.2,0.8
Bayeux,10.9,0.2
Bayeux,8.2,1.9
Bayeux,8.0,6.6
Bayeux,6.2,1.8
Bayeux,8.2,1.5
Bayeux,5.8,2.4
Le Havre,13.9,0.0
Le Havre,10.5,0.0
Le Havre,10.3,4.8
Le Havre,9.6,16.5
Le Havre,7.6,0.9
Le Havre,8.8,0.0
Le Havre,8.7,4.5
Rouen,13.4,0.1
Rouen,10.3,0.4
Rouen,8.3,2.0
Rouen,7.9,6.7
Rouen,7.7,0.2
Rouen,7.6,0.0
Rouen,6.1,3.3
Paris,13.1,0.0
Paris,10.1,0.0
Paris,9.3,0.0
Paris,9.1,2.2
Paris,8.0,1.3
Paris,6.9,0.0
Paris,4.5,0.3
Amiens,12.9,7.7
Amiens,9.6,0.1
Amiens,6.8,2.5
Amiens,6.3,9.7
Amiens,5.2,0.6
Amiens,6.2,0.0
Amiens,1.6,0.0
Lille,12.8,0.7
Lille,9.0,2.3
Lille,7.6,3.8
Lille,6.5,10.9
Lille,5.4,1.1
Lille,5.1,0.0
Lille,1.9,0.0
Strasbourg,11.4,1.3
Strasbourg,10.5,4.7
Strasbourg,6.7,0.0
Strasbourg,6.9,0.6
Strasbourg,6.8,2.4
Strasbourg,4.9,0.0
Strasbourg,1.7,0.0
Chateau du Haut Koenigsbourg,9.9,4.2
Chateau du Haut Koenigsbourg,8.1,3.0
Chateau du Haut Koenigsbourg,2.8,0.0
Chateau du Haut Koenigsbourg,4.9,0.6
Chateau du Haut Koenigsbourg,2.8,2.4
Chateau du Haut Koenigsbourg,0.7,1.0
Chateau du Haut Koenigsbourg,-0.9,0.5
Colmar,11.8,6.1
Colmar,9.9,1.8
Colmar,6.4,0.0
Colmar,7.5,0.4
Colmar,7.0,0.8
Colmar,4.3,0.3
Colmar,2.2,0.0
Eguisheim,12.9,6.4
Eguisheim,10.1,3.6
Eguisheim,6.2,0.0
Eguisheim,7.9,0.4
Eguisheim,7.0,1.1
Eguisheim,4.1,0.3
Eguisheim,2.2,0.0
Besancon,12.6,10.2
Besancon,10.9,7.7
Besancon,6.4,0.0
Besancon,7.6,6.1
Besancon,4.2,7.1
Besancon,5.1,1.5
Besancon,3.2,0.0
Dijon,11.0,4.9
